"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"The international journal of lower extremity wounds","Int J Low Extrem Wounds","1534-7346","1552-6941","101128359"
"Journal of lower genital tract disease","J Low Genit Tract Dis","1089-2591","1526-0976","9704963"
"Rural and remote health","Rural Remote Health","","1445-6354","101174860"
"The Korean journal of physiology & pharmacology : official journal of the Korean Physiological Society and the Korean Society of Pharmacology","Korean J Physiol Pharmacol","1226-4512","2093-3827","9709505"
"Clinical otolaryngology : official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology & Cervico-Facial Surgery","Clin Otolaryngol","1749-4478","1749-4486","101247023"
"IEEE sensors journal","IEEE Sens J","1530-437X","","101212357"
"Materialwissenschaft und Werkstofftechnik","Materwiss Werksttech","0933-5137","","101245926"
"Journal of minimally invasive gynecology","J Minim Invasive Gynecol","1553-4650","1553-4669","101235322"
"International journal of injury control and safety promotion","Int J Inj Contr Saf Promot","1745-7300","1745-7319","101247254"
"Annales de limnologie","Ann Limnol","0003-4088","2100-000X","0110543"
"Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico","Clin Transl Oncol","1699-048X","1699-3055","101247119"
"Network (Research Triangle Park, N.C.)","Netw Res Triangle Park N C","0270-3637","","9509506"
"Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery","Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi","1673-0860","","101247574"
"Medical molecular morphology","Med Mol Morphol","1860-1480","1860-1499","101239023"
"Indian journal of medical microbiology","Indian J Med Microbiol","0255-0857","1998-3646","8700903"
"European journal of medical genetics","Eur J Med Genet","1769-7212","1878-0849","101247089"
"Lebensmittel-Wissenschaft + [i.e. und] Technologie. Food science + technology. Science + technologie alimentaire","Lebensm Wiss Technol","0023-6438","","9876251"
"The American midland naturalist","Am Midl Nat","0003-0031","","9879535"
"Infancy : the official journal of the International Society on Infant Studies","Infancy","1525-0008","1532-7078","100890607"
"Alcoholism treatment quarterly","Alcohol Treat Q","0734-7324","","8411865"
"Journal of family nursing","J Fam Nurs","1074-8407","1552-549X","9503761"
"Drugs of the future","Drugs Future","0377-8282","2013-0368","7610442"
"Acta crystallographica. Section F, Structural biology and crystallization communications","Acta Crystallogr Sect F Struct Biol Cryst Commun","","1744-3091","101226117"
"Applied engineering in agriculture","Appl Eng Agric","0883-8542","","101247936"
"Polymer degradation and stability","Polym Degrad Stab","0141-3910","1873-2321","101248930"
"Indian journal of microbiology","Indian J Microbiol","0046-8991","0973-7715","0374703"
"Proceedings (Baylor University. Medical Center)","Proc (Bayl Univ Med Cent)","0899-8280","1525-3252","9302033"
"Waterbirds","Waterbirds","1524-4695","1938-5390","101249640"
"Helminthologia","Helminthologia","0440-6605","1336-9083","0043764"
"Journal of oral biosciences","J Oral Biosci","1349-0079","1880-3865","101226721"
"Ghana social science journal","Ghana Soc Sci J","0046-5925","","101249931"
"HIV/AIDS policy & law review","HIV AIDS Policy Law Rev","1712-624X","1712-6266","101249725"
"Chemia analityczna","Chem Analityczna","0009-2223","","16120480R"
"Journal of child and family studies","J Child Fam Stud","1062-1024","","9214438"
"Philosophical transactions. Physical sciences and engineering","Philos Trans Phys Sci Eng","0962-8428","2054-0299","101133384"
"Statistical applications in genetics and molecular biology","Stat Appl Genet Mol Biol","2194-6302","1544-6115","101176023"
"Biofilms","Biofilms","1479-0505","1479-0513","101179729"
"Chemtracts","Chemtracts","1431-9268","","9708333"
"Biology bulletin of the Russian Academy of Sciences","Biol Bull Russ Acad Sci","1062-3590","","9411377"
"Clinical advances in hematology & oncology : H&O","Clin Adv Hematol Oncol","1543-0790","","101167661"
"Journal of integrative plant biology","J Integr Plant Biol","1672-9072","1744-7909","101250502"
"Purinergic signalling","Purinergic Signal","1573-9538","1573-9546","101250499"
"BMC veterinary research","BMC Vet Res","","1746-6148","101249759"
"Watermark (Archivists and Librarians in the History of the Health Sciences)","Watermark (Arch Libr Hist Health Sci)","1553-7641","","101250525"
"Clinical orthopaedics","Clin Orthop","0095-8654","","101242526"
"Journal of statistical planning and inference","J Stat Plan Inference","0378-3758","","101250629"
"William & Mary journal of women and the law","William Mary J Women Law","1081-549X","","101248246"
"Margins (Baltimore, Md.)","Margins (Baltim)","1538-8743","","101248254"
"Science & Christian belief","Sci Christ Belief","0954-4194","","101248265"
"Legal studies (Society of Public Teachers of Law)","Leg Stud","","","101248274"
"Loyola consumer law review","Loyola Consum Law Rev","1530-5449","","101248284"
"Legal studies (Society of Legal Scholars)","Leg Stud (Soc Leg Scholars)","0261-3875","1748-121X","101248290"
"Ethik in der Medizin : Organ der Akademie fur Ethik in der Medizin","Ethik Med","0935-7335","","9015445"
"Advanced synthesis & catalysis","Adv Synth Catal","1615-4150","1615-4169","101095751"
"Science as culture","Sci Cult (Lond)","0950-5431","","9883160"
"Indian journal of medical ethics","Indian J Med Ethics","0974-8466","0975-5691","101214913"
"E law : Murdoch University electronic journal of law","E Law","","1321-8247","101248313"
"Ethics and information technology","Ethics Inf Technol","1388-1957","","101248311"
"Legal ethics (Oxford, England)","Leg Ethics","1460-728X","","101248307"
"The Columbia science and technology law review","Columbia Sci Technol Law Rev","","","101248315"
"Common law world review","Common Law World Rev","1473-7795","","101248318"
"Journal of bioethical inquiry","J Bioeth Inq","1176-7529","","101250741"
"B-ENT","B-ENT","1781-782X","","101247842"
"Operative Orthopadie und Traumatologie","Oper Orthop Traumatol","0934-6694","1439-0981","9604937"
"Acta crystallographica. Section E, Structure reports online","Acta Crystallogr Sect E Struct Rep Online","","1600-5368","101089178"
"Diagnostic pathology","Diagn Pathol","","1746-1596","101251558"
"Cell division","Cell Div","","1747-1028","101251560"
"International breastfeeding journal","Int Breastfeed J","","1746-4358","101251562"
"Pakistan journal of pharmaceutical sciences","Pak J Pharm Sci","1011-601X","","9426356"
"Journal of the National Comprehensive Cancer Network : JNCCN","J Natl Compr Canc Netw","1540-1405","1540-1413","101162515"
"Europa medicophysica","Eura Medicophys","0014-2573","1827-1804","0071035"
"Physiotherapy theory and practice","Physiother Theory Pract","0959-3985","1532-5040","9015520"
"Neuropsychological rehabilitation","Neuropsychol Rehabil","0960-2011","1464-0694","9112672"
"Psychiatria Hungarica : A Magyar Pszichiatriai Tarsasag tudomanyos folyoirata","Psychiatr Hung","0237-7896","","9426825"
"Scandinavian journal of occupational therapy","Scand J Occup Ther","1103-8128","1651-2014","9502210"
"Techniques in hand & upper extremity surgery","Tech Hand Up Extrem Surg","1089-3393","1531-6572","9704676"
"Hemodialysis international. International Symposium on Home Hemodialysis","Hemodial Int","1492-7535","1542-4758","101093910"
"Nigerian journal of clinical practice","Niger J Clin Pract","1119-3077","","101150032"
"Research in sports medicine (Print)","Res Sports Med","1543-8627","1543-8635","101167637"
"Current osteoporosis reports","Curr Osteoporos Rep","1544-1873","1544-2241","101176492"
"Current heart failure reports","Curr Heart Fail Rep","1546-9530","1546-9549","101196487"
"Chronic respiratory disease","Chron Respir Dis","1479-9723","1479-9731","101197408"
"Clinical trials (London, England)","Clin Trials","1740-7745","1740-7753","101197451"
"Proceedings of the American Thoracic Society","Proc Am Thorac Soc","1546-3222","1943-5665","101203596"
"Nature clinical practice. Cardiovascular medicine","Nat Clin Pract Cardiovasc Med","1743-4297","1743-4300","101226507"
"Nature clinical practice. Oncology","Nat Clin Pract Oncol","1743-4254","1743-4262","101226509"
"Nature clinical practice. Gastroenterology & hepatology","Nat Clin Pract Gastroenterol Hepatol","1743-4378","1743-4386","101226510"
"Dialogues in clinical neuroscience","Dialogues Clin Neurosci","1294-8322","1958-5969","101238198"
"Cell metabolism","Cell Metab","1550-4131","1932-7420","101233170"
"The Journal of ecology","J Ecol","0022-0477","1365-2745","0050202"
"Second opinion (Chicago, Ill. : 1999)","Second Opin (Chic)","","","100898177"
"PLoS pathogens","PLoS Pathog","1553-7366","1553-7374","101238921"
"Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine","Magn Reson Med Sci","1347-3182","1880-2206","101153368"
"PLoS computational biology","PLoS Comput Biol","1553-734X","1553-7358","101238922"
"Seminars in respiratory and critical care medicine","Semin Respir Crit Care Med","1069-3424","1098-9048","9431858"
"Journal of arid environments","J Arid Environ","0140-1963","1095-922X","9878290"
"Molecular systems biology","Mol Syst Biol","","1744-4292","101235389"
"Behavior research methods","Behav Res Methods","1554-351X","1554-3528","101244316"
"Physical biology","Phys Biol","1478-3967","1478-3975","101197454"
"The Clinical biochemist. Reviews","Clin Biochem Rev","0159-8090","1838-0212","8215797"
"IAVI report : newsletter on international AIDS vaccine research","IAVI Rep","1816-6253","1816-6261","9810937"
"Journal of geriatric physical therapy (2001)","J Geriatr Phys Ther","1539-8412","2152-0895","101142169"
"Current HIV/AIDS reports","Curr HIV/AIDS Rep","1548-3568","1548-3576","101235661"
"Journal of visual communication in medicine","J Vis Commun Med","1745-3054","1745-3062","101254059"
"Karstenia","Karstenia","0453-3402","","101254441"
"Gender medicine","Gend Med","1550-8579","1878-7398","101225178"
"Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine","J Clin Sleep Med","1550-9389","1550-9397","101231977"
"Journal of visual impairment & blindness","J Vis Impair Blind","0145-482X","1559-1476","7802172"
"Language and cognitive processes","Lang Cogn Process","0169-0965","1464-0732","8603359"
"Synlett : accounts and rapid communications in synthetic organic chemistry","Synlett","0936-5214","","9203577"
"Neuropsychology, development, and cognition. Section B, Aging, neuropsychology and cognition","Neuropsychol Dev Cogn B Aging Neuropsychol Cogn","1382-5585","1744-4128","9614434"
"Organometallics","Organometallics","0276-7333","1520-6041","9881295"
"Research in human development","Res Hum Dev","1542-7609","1542-7617","101185265"
"IEEE pervasive computing","IEEE Pervasive Comput","1536-1268","1558-2590","101212020"
"RNA biology","RNA Biol","1547-6286","1555-8584","101235328"
"Nanotechnology","Nanotechnology","0957-4484","1361-6528","101241272"
"Social development (Oxford, England)","Soc Dev","0961-205X","1467-9507","101246621"
"African journal of medicine and medical sciences","Afr J Med Med Sci","0309-3913","2659-143X","7801013"
"Science in China. Series D, Earth sciences","Sci China Ser D Earth Sci","1006-9313","","9890837"
"Theory in biosciences = Theorie in den Biowissenschaften","Theory Biosci","1431-7613","1611-7530","9708216"
"Neurocritical care","Neurocrit Care","1541-6933","1556-0961","101156086"
"Revista brasileira de parasitologia veterinaria = Brazilian journal of veterinary parasitology : Orgao Oficial do Colegio Brasileiro de Parasitologia Veterinaria","Rev Bras Parasitol Vet","0103-846X","1984-2961","9440482"
"Journal of trauma & dissociation : the official journal of the International Society for the Study of Dissociation (ISSD)","J Trauma Dissociation","1529-9732","1529-9740","100898209"
"Cancer imaging : the official publication of the International Cancer Imaging Society","Cancer Imaging","1740-5025","1470-7330","101172931"
"Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery","Zhonghua Wei Chang Wai Ke Za Zhi","1671-0274","","101177990"
"Current neurovascular research","Curr Neurovasc Res","1567-2026","1875-5739","101208439"
"Beilstein journal of organic chemistry","Beilstein J Org Chem","","1860-5397","101250746"
"International journal of obesity (2005)","Int J Obes (Lond)","0307-0565","1476-5497","101256108"
"Reproductive medicine and biology","Reprod Med Biol","1445-5781","1447-0578","101213278"
"Journal of neuro-AIDS","J NeuroAIDS","1069-7438","","9613966"
"Journal of ethnicity in substance abuse","J Ethn Subst Abuse","1533-2640","1533-2659","101083217"
"World psychiatry : official journal of the World Psychiatric Association (WPA)","World Psychiatry","1723-8617","2051-5545","101189643"
"Geoderma","Geoderma","0016-7061","1872-6259","101256557"
"Ernahrungsforschung. Berichte und Mitteilungen","Ernahrungsforsch Ber Mitt","","","101255809"
"ACM queue : tomorrow's computing today","ACM Queue","1542-7730","1542-7749","101257114"
"Hellenic journal of nuclear medicine","Hell J Nucl Med","1790-5427","","101257471"
"Cellular & molecular immunology","Cell Mol Immunol","1672-7681","2042-0226","101242872"
"British journal of hospital medicine (London, England : 2005)","Br J Hosp Med (Lond)","1750-8460","","101257109"
"Pediatric endocrinology reviews : PER","Pediatr Endocrinol Rev","1565-4753","","101202124"
"Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese","Hellenic J Cardiol","1109-9666","2241-5955","101257381"
"Journal of biomedical discovery and collaboration","J Biomed Discov Collab","","1747-5333","101258054"
"Philosophy, ethics, and humanities in medicine : PEHM","Philos Ethics Humanit Med","","1747-5341","101258058"
"Substance abuse treatment, prevention, and policy","Subst Abuse Treat Prev Policy","","1747-597X","101258060"
"Journal of applied entomology = Zeitschrift fur angewandte Entomologie","J Appl Entomol","0931-2048","1439-0418","101175110"
"Tree genetics & genomes","Tree Genet Genomes","1614-2942","1614-2950","101258583"
"Implementation science : IS","Implement Sci","","1748-5908","101258411"
"Biology direct","Biol Direct","","1745-6150","101258412"
"Clinical lymphoma & myeloma","Clin Lymphoma Myeloma","1557-9190","1938-0712","101256500"
"Journal of avian medicine and surgery","J Avian Med Surg","1082-6742","","9512497"
"Cardiovascular revascularization medicine : including molecular interventions","Cardiovasc Revasc Med","1553-8389","1878-0938","101238551"
"Acta psychotherapeutica, psychosomatica et orthopaedagogica","Acta Psychother Psychosom Orthopaedagog","0365-5679","","101259884"
"Medicine and sport science","Med Sport Sci","0254-5020","1662-2812","8402440"
"Stomatologija","Stomatologija","1392-8589","1822-301X","101248498"
"Hormones (Athens, Greece)","Hormones (Athens)","1109-3099","2520-8721","101142469"
"American journal of enology and viticulture","Am J Enol Vitic","0002-9254","","101260079"
"Scientific reports of the Istituto superiore di sanita","Sci Rep Ist Super Sanita","0579-0972","","17720270R"
"Aquaculture research","Aquac Res","1355-557X","","101179805"
"Nucleic acids symposium series (2004)","Nucleic Acids Symp Ser (Oxf)","","1746-8272","101259965"
"Handbook of experimental pharmacology","Handb Exp Pharmacol","0171-2004","","7902231"
"Zhongguo zhen jiu = Chinese acupuncture & moxibustion","Zhongguo Zhen Jiu","0255-2930","","8600658"
"Veterinary and comparative orthopaedics and traumatology : V.C.O.T","Vet Comp Orthop Traumatol","0932-0814","2567-6911","8906319"
"Pediatric physical therapy : the official publication of the Section on Pediatrics of the American Physical Therapy Association","Pediatr Phys Ther","0898-5669","1538-005X","8912748"
"Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases","J Clin Rheumatol","1076-1608","1536-7355","9518034"
"Heart, lung & circulation","Heart Lung Circ","1443-9506","1444-2892","100963739"
"Expert opinion on drug delivery","Expert Opin Drug Deliv","1742-5247","1744-7593","101228421"
"Expert review of medical devices","Expert Rev Med Devices","1743-4440","1745-2422","101230445"
"The journal of sexual medicine","J Sex Med","1743-6095","1743-6109","101230693"
"Nature chemical biology","Nat Chem Biol","1552-4450","1552-4469","101231976"
"Palliative & supportive care","Palliat Support Care","1478-9515","1478-9523","101232529"
"Diabetes & vascular disease research","Diab Vasc Dis Res","1479-1641","1752-8984","101234011"
"Sexual health","Sex Health","1448-5028","1449-8987","101242667"
"Journal of preventive medicine and public health = Yebang Uihakhoe chi","J Prev Med Public Health","1975-8375","2233-4521","101242972"
"Nestle Nutrition workshop series. Paediatric programme","Nestle Nutr Workshop Ser Pediatr Program","1661-6677","1662-3878","101244056"
"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention","Med Image Comput Comput Assist Interv","","","101249582"
"A journal of Jewish medical ethics and halacha","J Jew Med Ethics Halacha","","","101260445"
"Subterranean biology","Subterr Biol","1768-1448","","101261033"
"Journal of neurologic physical therapy : JNPT","J Neurol Phys Ther","1557-0576","1557-0584","101193365"
"Tropical biomedicine","Trop Biomed","0127-5720","2521-9855","8507086"
"Marine ecology (Berlin, Germany)","Mar Ecol (Berl)","0173-9565","1439-0485","9883402"
"Pattern recognition","Pattern Recognit","0031-3203","","0250655"
"Journal of research in reading","J Res Read","0141-0423","","101261873"
"Social cognition","Soc Cogn","0278-016X","","8219860"
"Pramana","Pramana","0304-4289","","101261874"
"Journal of geographical systems","J Geogr Syst","1435-5930","1435-5949","101261875"
"Journal of optics. B, Quantum and semiclassical optics : journal of the European Optical Society","J Opt B Quantum Semiclassical Opt","1464-4266","","101262684"
"Journal of physics A: Mathematical and general","J Phys A Math Gen","0305-4470","","7600112"
"Inquiry (Oslo, Norway)","Inquiry (Oslo)","0020-174X","1502-3923","101262685"
"Cognitive processing","Cogn Process","1612-4782","1612-4790","101177984"
"Journal of neurolinguistics","J Neurolinguistics","0911-6044","","8905293"
"Cancer therapy","Cancer Ther","1543-9135","1543-9143","101174596"
"Journal of the Gay and Lesbian Medical Association","J Gay Lesbian Med Assoc","1090-7173","","9709258"
"Newborn and infant nursing reviews : NAINR","Newborn Infant Nurs Rev","1527-3369","1558-352X","101126037"
"Inverse problems","Inverse Probl","0266-5611","","101189510"
"Asian journal of control","Asian J Control","1561-8625","","101262633"
"Journal of machine learning research : JMLR","J Mach Learn Res","1532-4435","1533-7928","101262635"
"Environmetrics","Environmetrics","1180-4009","1099-095X","100968246"
"Focus on autism and other developmental disabilities","Focus Autism Other Dev Disabl","1088-3576","1538-4829","9890907"
"Philosophy, psychiatry, & psychology : PPP","Philos Psychiatr Psychol","1071-6076","1086-3303","9433810"
"The journal of headache and pain","J Headache Pain","1129-2369","1129-2377","100940562"
"Cellscience","Cellscience","","1742-8130","101230320"
"Brazilian journal of otorhinolaryngology","Braz J Otorhinolaryngol","1808-8694","1808-8686","101207337"
"Seminars in hearing","Semin Hear","0734-0451","1098-8955","8413380"
"Clinical psychology & psychotherapy","Clin Psychol Psychother","1063-3995","1099-0879","9416196"
"Journal of child nutrition & management (Online)","J Child Nutr Manag","","1559-5676","100938297"
"Journal of computational electronics","J Comput Electron","1569-8025","1572-8137","101263242"
"Policy, politics & nursing practice","Policy Polit Nurs Pract","1527-1544","1552-7468","100901316"
"Phosphorus, sulfur, and silicon and the related elements","Phosphorus Sulfur Silicon Relat Elem","1042-6507","","101263240"
"Ocean science journal : OSJ","Ocean Sci J","1738-5261","","101263290"
"Quarterly journal of experimental psychology (2006)","Q J Exp Psychol (Hove)","1747-0218","1747-0226","101259775"
"Evidence-based cardiovascular medicine","Evid Based Cardiovasc Med","1361-2611","1532-2173","9709510"
"Reviews in neurological diseases","Rev Neurol Dis","1545-2913","1949-4378","101223246"
"The journal of medical, chemical, biological, and radiological defense","J Med Chem Biol Radiol Def","","1540-6709","101263802"
"Recent patents on cardiovascular drug discovery","Recent Pat Cardiovasc Drug Discov","","","101263805"
"Surveillance & society","Surveill Soc","","1477-7487","101263846"
"International journal of nanomedicine","Int J Nanomedicine","1176-9114","1178-2013","101263847"
"Science studies (Helsinki, Finland)","Sci Stud","0786-3012","","101263848"
"The Scottish journal of criminal justice studies : the journal of the Scottish Association for the Study of Delinquency","Scott J Crim Justice Stud","1360-4449","","101263849"
"Cereal research communications","Cereal Res Commun","0133-3720","","9889550"
"IEE proceedings. Nanobiotechnology","IEE Proc Nanobiotechnol","1478-1581","1740-9748","101188789"
"Current drug discovery technologies","Curr Drug Discov Technol","1570-1638","1875-6220","101157212"
"International journal of dental hygiene","Int J Dent Hyg","1601-5029","1601-5037","101168070"
"Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners","J Oncol Pharm Pract","1078-1552","1477-092X","9511372"
"Cognitive neuropsychiatry","Cogn Neuropsychiatry","1354-6805","1464-0619","9713497"
"Electromagnetic biology and medicine","Electromagn Biol Med","1536-8378","1536-8386","101133002"
"Journal of intellectual & developmental disability","J Intellect Dev Disabil","1366-8250","1469-9532","9610837"
"New solutions : a journal of environmental and occupational health policy : NS","New Solut","1048-2911","1541-3772","9100937"
"Journal of lesbian studies","J Lesbian Stud","1089-4160","1540-3548","9891002"
"Journal of prevention & intervention in the community","J Prev Interv Community","1085-2352","1540-7330","9702085"
"Journal of psychosocial oncology","J Psychosoc Oncol","0734-7332","1540-7586","8309337"
"Frontiers of oral biology","Front Oral Biol","1420-2433","1662-3770","9812095"
"Progress in neurological surgery","Prog Neurol Surg","0079-6492","1662-3924","0076033"
"Nature clinical practice. Urology","Nat Clin Pract Urol","1743-4270","1743-4289","101226508"
"The journal of vascular access","J Vasc Access","1129-7298","1724-6032","100940729"
"African journal of traditional, complementary, and alternative medicines : AJTCAM","Afr J Tradit Complement Altern Med","0189-6016","2505-0044","101232990"
"Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics","Zhongguo Dang Dai Er Ke Za Zhi","1008-8830","","100909956"
"Cochlear implants international","Cochlear Implants Int","1467-0100","1754-7628","101121166"
"Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference","Conf Proc IEEE Eng Med Biol Soc","1557-170X","","101243413"
"The Consultant pharmacist : the journal of the American Society of Consultant Pharmacists","Consult Pharm","0888-5109","2331-0936","9013983"
"Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine","Crit Care Resusc","1441-2772","","100888170"
"Eating disorders","Eat Disord","1064-0266","1532-530X","9315161"
"Ethiopian journal of health sciences","Ethiop J Health Sci","1029-1857","2413-7170","101224773"
"Health informatics journal","Health Informatics J","1460-4582","1741-2811","100883604"
"Marine drugs","Mar Drugs","","1660-3397","101213729"
"Musculoskeletal care","Musculoskeletal Care","1478-2189","1557-0681","101181344"
"Nigerian journal of physiological sciences : official publication of the Physiological Society of Nigeria","Niger J Physiol Sci","0794-859X","","8811109"
"Nigerian journal of surgery : official publication of the Nigerian Surgical Research Society","Niger J Surg","1117-6806","2278-7100","101189891"
"North American actuarial journal : NAAJ","N Am Actuar J","1092-0277","","101184055"
"Ortopedia, traumatologia, rehabilitacja","Ortop Traumatol Rehabil","1509-3492","2084-4336","101240146"
"Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society","Saudi Pharm J","1319-0164","2213-7475","9705695"
"Sensor letters","Sens Lett","1546-198X","1546-1971","101231046"
"Turkiye parazitolojii dergisi","Turkiye Parazitol Derg","1300-6320","2146-3077","9425544"
"Forestry studies in China","For Stud China","1008-1321","","101264446"
"Journal of liquid chromatography & related technologies","J Liq Chromatogr Relat Technol","1082-6076","1520-572X","9605507"
"Herpetozoa","Herpetozoa","1013-4425","","101264843"
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS","J Plast Reconstr Aesthet Surg","1748-6815","1878-0539","101264239"
"Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association","J Stroke Cerebrovasc Dis","1052-3057","1532-8511","9111633"
"Journal of the Society for Information Display","J Soc Inf Disp","1071-0922","","101265155"
"Algorithms for molecular biology : AMB","Algorithms Mol Biol","","1748-7188","101265088"
"Chinese medicine","Chin Med","","1749-8546","101265109"
"Radiation oncology (London, England)","Radiat Oncol","","1748-717X","101265111"
"Journal of orthopaedic surgery and research","J Orthop Surg Res","","1749-799X","101265112"
"Journal of cardiothoracic surgery","J Cardiothorac Surg","","1749-8090","101265113"
"Journal of brachial plexus and peripheral nerve injury","J Brachial Plex Peripher Nerve Inj","","1749-7221","101265114"
"South Dakota medicine : the journal of the South Dakota State Medical Association","S D Med","0038-3317","","101265265"
"Weed biology and management","Weed Biol Manag","1444-6162","1445-6664","101185815"
"Clinical genitourinary cancer","Clin Genitourin Cancer","1558-7673","1938-0682","101260955"
"Clinical and vaccine immunology : CVI","Clin Vaccine Immunol","1556-6811","1556-679X","101252125"
"Anti-cancer agents in medicinal chemistry","Anticancer Agents Med Chem","1871-5206","1875-5992","101265649"
"Chinese journal of chemical engineering","Chin J Chem Eng","1004-9541","","101265807"
"Havemeyer Foundation Monograph Series. Dorothy Russell Havemeyer Foundation","Havemeyer Found Monogr Ser","1472-3158","","101265802"
"Nuclear receptor signaling","Nucl Recept Signal","","1550-7629","101237902"
"Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology]","Braz J Microbiol","1517-8382","1678-4405","101095924"
"Pacific science","Pac Sci","0030-8870","","19510280R"
"Hospital practice (1995)","Hosp Pract (1995)","2154-8331","","101268948"
"Suomalaisen Tiedeakatemian toimituksia. Sar. A.5, Medica-anthropologica","Suom Tiedeakat Toim A5 Medica Anthropol","0374-5198","","7604335"
"Pakistan journal of biological sciences : PJBS","Pak J Biol Sci","1028-8880","1812-5735","101247723"
"Insect science","Insect Sci","1672-9609","1744-7917","101266965"
"Annals of surgical innovation and research","Ann Surg Innov Res","","1750-1164","101266580"
"Molecular neurodegeneration","Mol Neurodegener","","1750-1326","101266600"
"Orphanet journal of rare diseases","Orphanet J Rare Dis","","1750-1172","101266602"
"World journal of emergency surgery : WJES","World J Emerg Surg","","1749-7922","101266603"
"Complexity","Complexity","1076-2787","1099-0526","9888589"
"Animal biology (Leiden, Netherlands)","Anim Biol Leiden Neth","1570-7555","1570-7563","101230034"
"Mechanics & chemistry of biosystems : MCB","Mech Chem Biosyst","1546-2048","1546-2056","101258184"
"Canadian pharmaceutical journal","Can Pharm J","0317-199X","","101266775"
"Journal of the American Board of Family Medicine : JABFM","J Am Board Fam Med","1557-2625","1558-7118","101256526"
"Journal of immigrant and minority health","J Immigr Minor Health","1557-1912","1557-1920","101256527"
"Chemical biology & drug design","Chem Biol Drug Des","1747-0277","1747-0285","101262549"
"Nan fang yi ke da xue xue bao = Journal of Southern Medical University","Nan Fang Yi Ke Da Xue Xue Bao","1673-4254","2663-0842","101266132"
"Aquaculture international : journal of the European Aquaculture Society","Aquac Int","0967-6120","","101269399"
"Journal of psychopathology and behavioral assessment","J Psychopathol Behav Assess","0882-2689","","8608482"
"Cognitive and behavioral practice","Cogn Behav Pract","1077-7229","","9440144"
"Organic preparations and procedures international","Org Prep Proced Int","0030-4948","","9881293"
"Environmental engineering science","Environ Eng Sci","1092-8758","1557-9018","9891639"
"Acoustics research letters online : ARLO","Acoust Res Lett Online","","1529-7853","101232366"
"Trials","Trials","","1745-6215","101263253"
"EURASIP journal on applied signal processing","EURASIP J Appl Signal Processing","1110-8657","","101269458"
"Acta physiologica (Oxford, England)","Acta Physiol (Oxf)","1748-1708","1748-1716","101262545"
"Cardiovascular & hematological agents in medicinal chemistry","Cardiovasc Hematol Agents Med Chem","1871-5257","1875-6182","101266881"
"The Canadian entomologist","Can Entomol","0008-347X","","0237725"
"Toxic substance mechanisms","Toxic Subst Mech","1076-9188","1091-7659","9512523"
"Topics in spinal cord injury rehabilitation","Top Spinal Cord Inj Rehabil","1082-0744","1945-5763","9515174"
"Applied rheology (Lappersdorf, Germany : Online)","Appl Rheol","","1617-8106","101269486"
"Australian journal of professional and applied ethics","Aust J Prof Appl Ethics","1328-4576","","101269487"
"Journal of the American Association for Laboratory Animal Science : JAALAS","J Am Assoc Lab Anim Sci","1559-6109","2769-6677","101269489"
"Journal of physiological anthropology","J Physiol Anthropol","1880-6791","1880-6805","101269653"
"Nanomedicine : nanotechnology, biology, and medicine","Nanomedicine","1549-9634","1549-9642","101233142"
"Biotechnology and bioprocess engineering : BBE","Biotechnol Bioprocess Eng","1226-8372","1976-3816","101263166"
"Journal of exposure science & environmental epidemiology","J Expo Sci Environ Epidemiol","1559-0631","1559-064X","101262796"
"Inflammation & allergy drug targets","Inflamm Allergy Drug Targets","1871-5281","2212-4055","101266886"
"The University of Memphis law review","Univ Memphis Law Rev","1080-8582","","101258207"
"The American University journal of gender, social policy & the law","Am Univ J Gend Soc Policy Law","1557-3753","","101258209"
"Florida journal of international law","Fla J Int Law","1556-2670","","101258212"
"Journal of Buddhist ethics","J Buddh Ethics","","1076-9005","101258222"
"Journal of burn care & research : official publication of the American Burn Association","J Burn Care Res","1559-047X","1559-0488","101262774"
"The Journal of perinatal education","J Perinat Educ","1058-1243","1548-8519","9301158"
