AADE editors' journal	Aade Ed. J.	AADE Ed J
International wildlife	Int. Wildl.	Int Wildl
Mondai to kenkyu : Chugoku jijo senmonshi	Mondai To Kenkyu	Mondai To Kenkyu
Izvestiia Akademii nauk SSSR. Seriia geograficheskaia	Izv. Akad. Nauk Sssr Ser. Geogr.	Izv Akad Nauk SSSR Ser Geogr
Journal fur Entwicklungspolitik : JEP	J. Entwickl. Polit.	J Entwickl Polit
The Journal of behavioral economics	J. Behav. Econ.	J Behav Econ
The Journal of East Asian affairs	J. East Asian Aff.	J East Asian Aff
Journal of macroeconomics	J. Macroecon.	J Macroecon
JMR, Journal of marketing research	J. Mark. Res.	J Mark Res
Sociale wetenschappen	Soc. Wetenschap.	Soc Wetenschap
Journal of quantitative economics : journal of the Indian Econometric Society	J. Quant. Econ.	J Quant Econ
Journal of South Asian and Middle Eastern studies	J. South Asian Middle East. Stud.	J South Asian Middle East Stud
Journal of Soviet nationalities : a quarterly publication of the Center on East-West Trade, Investment, and Communications	J. Sov. Natly.	J Sov Natly
Journal of the Market Research Society. Market Research Society	J. Mark. Res. Soc.	J Mark Res Soc
Studies in third world societies	Stud. Third World Soc.	Stud Third World Soc
PAN (Nigeria)	Pan	PAN
Sankhya. Series B. [Methodological.]	Sankhya Ser. B	Sankhya Ser B
Les temps modernes	Temps Mod.	Temps Mod
Toronto star	Tor. Star	Tor Star
Sociologie du travail	Sociol. Trav.	Sociol Trav
The Utne reader	Utne Read.	Utne Read
Virginia review of sociology	Va. Rev. Sociol.	Va Rev Sociol
The Western journal of black studies	West. J. Black Stud.	West J Black Stud
Manshurat Majallat dirasat al-Khalij wa-al-Jazirah al-'Arabiyah	Manshur. Atmajallat. Dirasat Alkhalij. Waal. Jazirah Alarabiyah.	Manshur Atmajallat Dirasat Alkhalij Waal Jazirah Alarabiyah
Social work in education	Soc. Work Educ.	Soc Work Educ
Social science information studies : SSIS	Soc. Sci. Inf. Stud.	Soc Sci Inf Stud
Social praxis	Soc. Prax.	Soc Prax
Marga	Marga	Marga
Social and labour bulletin	Soc. Labour Bull.	Soc Labour Bull
Sierra	Sierra	Sierra
South African labour bulletin	S. Afr. Labour Bull.	S Afr Labour Bull
Wirtschaftsdienst (Hamburg, Germany : 1949)	Wirtschaftsdienst	Wirtschaftsdienst
SusPop news : the Sustainable Population Society newsletter	Suspop News	SusPop News
Sociologia del lavoro	Sociol. Lav.	Sociol Lav
Sociological symposium	Sociol. Symp.	Sociol Symp
South African sociological review	S. Afr. Sociol. Rev.	S Afr Sociol Rev
Transactions of the Institute of Indian Geographers	Trans. Inst. Indian Geogr.	Trans Inst Indian Geogr
Nan yang wen ti yan qiu = Southeast Asian affairs	Nanyang. Wenti. Yenchiu.	Nanyang Wenti Yenchiu
The South African journal of African affairs	S. Afr. J. Afr. Aff.	S Afr J Afr Aff
Unesco sources	Unesco Sources	Unesco Sources
Acta applicandae mathematicae	Acta Appl. Math.	Acta Appl Math
A common place	Common Place	Common Place
Wiadomosci statystyczne (Warsaw, Poland : 1956)	Wiad. Stat. Warsaw	Wiad Stat (Warsaw)
Wissenschaftlicher Dienst Sudosteuropa	Wiss. Dienst Sudosteur.	Wiss Dienst Sudosteur
Outlook on agriculture	Outlook Agric.	Outlook Agric
Women's studies international quarterly	Womens. Stud. Int. Q.	Womens Stud Int Q
Philippine development	Philipp. Dev.	Philipp Dev
Philippine journal of public administration	Philipp. J. Public Adm.	Philipp J Public Adm
Our planet : the magazine of the United Nations Environment Programme	Our Planet	Our Planet
Kieler geographische Schriften	Kiel. Geogr. Schr.	Kiel Geogr Schr
Media development	Media Dev.	Media Dev
Mezzogiorno d'Europa	Mezzog. Eur.	Mezzog Eur
Neue juristische Wochenschrift	Neue Jurist. Wochenschr.	Neue Jurist Wochenschr
New Philippines	New Philipp.	New Philipp
New Zealand journal of geography	N. Z. J. Geogr.	N Z J Geogr
Z magazine (Boston, Mass.)	Z Mag.	Z Mag
Zeitschrift fur Wirtschafts- und Sozialwissenschaften	Z. Wirtsch. Sozialwiss.	Z Wirtsch Sozialwiss
Oeconomica Polona	Oecon. Pol.	Oecon Pol
Wies wspolczesna; pismo ruchu ludowego	Wies Wspolcz.	Wies Wspolcz
World development forum	World Dev. Forum	World Dev Forum
The World today	World Today	World Today
The World Bank economic review	World Bank Econ. Rev.	World Bank Econ Rev
African environment	Afr. Environ.	Afr Environ
African review (Dar es Salaam, Tanzania)	Afr. Rev.	Afr Rev
Kenya statistical digest	Kenya Stat. Dig.	Kenya Stat Dig
African urban studies (Michigan State University. African Studies Center)	Afr. Urban Stud.	Afr Urban Stud
Agenda salud	Agenda Salud	Agenda Salud
Korea & world affairs	Korea South.	Korea (South)
German comments	Ger. Comments	Ger Comments
Geographie et recherche	Geogr. Rech.	Geogr Rech
African study monographs	Afr. Study Monogr.	Afr Study Monogr
Agricultural economics research	Agric. Econ. Res.	Agric Econ Res
AIDSED newsletter : newsletter of the WHO/Unesco AIDS Education and Health Promotion Materials Exchange Centre for Asia and the Pacific	Aidsed Newsl.	AIDSED Newsl
al-Mustaqbal al-'Arabi	Almustaqbal. Alarabi.	Almustaqbal Alarabi
Geoadria	Geoadria	Geoadria
Advances in consumer research. Association for Consumer Research (U.S.)	Adv. Consum. Res.	Adv Consum Res
Gender & history	Gend. Hist.	Gend Hist
Asian development review	Asian Dev. Rev.	Asian Dev Rev
Family and consumer sciences research journal	Fam. Consum. Sci. Res. J.	Fam Consum Sci Res J
Berliner journal fur Soziologie	Berl. J. Soziol.	Berl J Soziol
Geography bulletin	Geogr. Bull.	Geogr Bull
The Boston globe	Boston Globe	Boston Globe
Asian geographer	Asian Geogr.	Asian Geogr
Evening sun (Baltimore, Md.)	Evening Sun	Evening Sun
Beleid & maatschappij	Beleid Maatsch.	Beleid Maatsch
Geografiia v shkole (Moscow, Russia)	Geogr. Shkole	Geogr Shkole
BIB-Mitteilungen : Informationen aus dem Bundesinstitut fur Bevolkerungsforschung	Bib Mitt.	Bib Mitt
Boletim de geografia teoretica	Bol. Geogr. Teor.	Bol Geogr Teor
Boletim geografico	Bol. Geogr.	Bol Geogr
Boletim da Sociedade de Geografia de Lisboa	Bol. Soc. Geogr. Lisb.	Bol Soc Geogr Lisb
Boletin del PROLAP	Bol. Prolap	Bol PROLAP
Boletin del SIDEMA : publicacion periodico del Centro de Estudios de Poblacion, CENEP	Bol. Sidema	Bol SIDEMA
Boletin editorial	Bol. Ed. Col. Mex.	Bol Ed Col Mex
Boletin (Consejo Nacional de Poblacion (Peru))	Bol. Cons. Nac. Poblac.	Bol Cons Nac Poblac
Annuaire de l'Afrique du Nord	Annu. Afr. Nord	Annu Afr Nord
Bulletin de la Societe belge d'etudes geographiques. Tijdschrift van de Belgische Vereniging voor Aardrijkskundige studies. Societe belge d'etudes geographiques	Bull. Soc. Belg. Etud. Geogr.	Bull Soc Belg Etud Geogr
Bulletin de l'Association tunisienne du planning familial : publication interne	Bull. Assoc. Tunis. Plan. Fam.	Bull Assoc Tunis Plan Fam
The Australian outlook	Aust. Outlook	Aust Outlook
American Universities Field Staff reports: North America	Am. Univ. Field Staff Rep. North Am.	Am Univ Field Staff Rep North Am
Greek economic review	Greek Econ. Rev.	Greek Econ Rev
CIRES, Cahiers ivoiriens de recherche economique et sociale. Centre ivoirien de recherches economiques et sociales	Cires Cah. Ivoir. Rech. Econ. Soc.	CIRES Cah Ivoir Rech Econ Soc
Europa Regional	Eur. Reg.	Eur Reg
Jugoslovenski pregled; informativno dokumentarni prirucnik o Jugoslaviji	Jugosl. Pregl.	Jugosl Pregl
Journal of Philippine development : a technical journal of the National Economic and Development Authority	J. Philipp. Dev.	J Philipp Dev
Fieldstaff reports. West Europe series	Fieldstaff Rep. West Eur. Ser.	Fieldstaff Rep West Eur Ser
Casa de la mujer	Casa Mujer	Casa Mujer
Southeast Europe series	Southeast Eur. Ser.	Southeast Eur Ser
American Universities Field Staff reports: Africa	Am. Univ. Field Staff Rep. Afr.	Am Univ Field Staff Rep Afr
Anthropology U.C.L.A	Anthropol. Ucla.	Anthropol UCLA
Asian and Pacific census newsletter	Asian Pac. Census Newsl.	Asian Pac Census Newsl
Asian economies	Asian Econ.	Asian Econ
Asian journal of communication	Asian J. Commun.	Asian J Commun
Asia-Pacific journal of rural development	Asia Pac. J. Rural Dev.	Asia Pac J Rural Dev
Asia-Pacific population research abstracts	Asia Pac. Popul. Res. Abstr.	Asia Pac Popul Res Abstr
Global access to STD diagnostics	Glob. Access Std Diagn.	Glob Access STD Diagn
Global futures digest	Global Futures Dig.	Global Futures Dig
Majallat al-buhuth wa-al-dirasat al-'Arabiyah	Majallat Albuhuth. Waaldirasat. Alarabiyah.	Majallat Albuhuth Waaldirasat Alarabiyah
Les Cahiers de l'Orient	Cah. Orient.	Cah Orient
Cahiers economiques de Bruxelles	Cah. Econ. Brux.	Cah Econ Brux
California counts	Calif. Counts	Calif Counts
El Caribe contemporaneo	Caribe Contemp.	Caribe Contemp
Carrefour africain	Carrefour Afr.	Carrefour Afr
The Cartographic journal	Cartogr. J.	Cartogr J
Child survival action news	Child Surviv. Action News	Child Surviv Action News
China aktuell	China Aktuell	China Aktuell
The China business review	China Bus. Rev.	China Bus Rev
Clearing house (Menasha, Wis.)	Clearing House	Clearing House
Foro internacional	Foro Int.	Foro Int
Coleccion estudios CIEPLAN	Colecc. Estud. Cieplan	Colecc Estud CIEPLAN
Combroad	Combroad	COMBROAD
The Contemporary Pacific	Contemp. Pac.	Contemp Pac
Newsletter - Family Planning Association of Hong Kong. Family Planning Association of Hong Kong	Newsl. Fam. Plan. Assoc. Hong Kong	Newsl Fam Plan Assoc Hong Kong
Contributions to Asian studies	Contrib. Asian Stud.	Contrib Asian Stud
Environmental politics	Env. Polit.	Env Polit
Contributions to Nepalese studies	Contrib. Nepalese Stud.	Contrib Nepalese Stud
Estadistica panamena. Situacion demografica, seccion 231: Migracion internacional. Panama. Direccion de Estadistica y Censo	Estad. Panamena Situac. Demogr. Secc. 231 Migr. Migr. Int.	Estad Panamena Situac Demogr Secc 231 Migr Migr Int
Coordinators' notebook : an international resource for early childhood development	Coord. Noteb.	Coord Noteb
Estudios publicos	Estud. Publicos	Estud Publicos
EURE. Revista latinoamericana de estudios urbano regionales	Eure	EURE
Europe, outremer	Eur. Om.	Eur Om
European urban and regional studies	Eur. Urban Reg. Stud.	Eur Urban Reg Stud
Cuadernos de economia social	Cuad. Econ. Soc.	Cuad Econ Soc
Cuadernos de nutricion	Cuad. Nutr.	Cuad Nutr
The journal of international trade & economic development	J. Int. Trade Econ. Dev.	J Int Trade Econ Dev
Journal of labor research	J. Labor Res.	J Labor Res
Journal of post Keynesian economics	J. Post Keynes. Econ.	J Post Keynes Econ
Les Cahiers de l'analyse des donnees	Cah. Anal. Donnees	Cah Anal Donnees
The Deccan geographer	Deccan Geogr.	Deccan Geogr
Demos (Mexico City, Mexico)	Demos	Demos
Development and gender in brief : a quarterly update from BRIDGE, raising gende awareness among policy-makers and practitioners	Dev. Gend. Brief	Dev Gend Brief
Development and peace	Dev. Peace	Dev Peace
Development forum	Dev. Forum	Dev Forum
Canadian journal of urban research	Can. J. Urban Res.	Can J Urban Res
Documents d'analisi geografica	Doc. Anal. Geogr.	Doc Anal Geogr
The East African geographical review	East Afr. Geogr. Rev.	East Afr Geogr Rev
Chinese economic studies	Chin. Econ. Stud.	Chin Econ Stud
Dusseldorfer geographische Schriften	Dusseld. Geogr. Schr.	Dusseld Geogr Schr
La Civilta cattolica	Civ. Cattol.	Civ Cattol
East European Jewish affairs	East Eur. Jew. Aff.	East Eur Jew Aff
Eastern European politics and societies : EEPS	East. Eur. Polit. Soc.	East Eur Polit Soc
Eastern Africa social science research review	East. Afr. Soc. Sci. Res. Rev.	East Afr Soc Sci Res Rev
Eastern and southern Africa geographical journal	East. South. Afr. Geogr. J.	East South Afr Geogr J
Eastern European economics	East. Europ. Econ.	East Europ Econ
Economia & lavoro	Econ. Lav.	Econ Lav
Economia pubblica : mensile di studi e d'informazione del Ciriec	Econ. Pubblica	Econ Pubblica
The Economic bulletin of Ghana	Econ. Bull. Ghana	Econ Bull Ghana
Economic computation and economic cybernetics studies and research	Econ. Comput. Econ. Cybern. Stud. Res.	Econ Comput Econ Cybern Stud Res
Economic eye	Econ. Eye	Econ Eye
Climatic change	Clim. Change	Clim Change
The Conference Board record	Conf. Board Rec.	Conf Board Rec
Environment and planning. C, Government & policy	Environ. Plann. C Gov. Policy	Environ Plann C Gov Policy
Landscape and urban planning	Landsc. Urban Plan.	Landsc Urban Plan
Journal of the Japanese and international economies	J. Jpn. Int. Econ.	J Jpn Int Econ
Journal of the Institute of Chartered Accountants of Sri Lanka	J. Inst. Chart. Account. Sri Lanka	J Inst Chart Account Sri Lanka
Journal of risk and uncertainty	J. Risk Uncertain.	J Risk Uncertain
Han'guk In'gu Hakhoe chi = The journal of the Population Association of Korea	J. Popul. Assoc. Korea	J Popul Assoc Korea
Economics and philosophy	Econ. Philos.	Econ Philos
Economics of education review	Econ. Educ. Rev.	Econ Educ Rev
Economies et societes	Econ. Soc. Paris.	Econ Soc (Paris)
Economy and society	Econ. Soc.	Econ Soc
Egypte/monde arabe	Egypte Monde Arabe	Egypte Monde Arabe
Ekonomska misao	Ekon. Misao	Ekon Misao
Ekonomska revija	Ekon. Revija	Ekon Revija
Environment and planning. B, Planning & design	Environ. Plann. B Plann. Des.	Environ Plann B Plann Des
Environmental education and information	Environ. Educ. Inf.	Environ Educ Inf
Etudes & documents (Groupe de demographie africaine (France))	Etud. Doc. Groupe Demogr. Afr.	Etud Doc Groupe Demogr Afr
Guang ming ri bao	Guang Ming Ri Bao	Guang Ming Ri Bao
Gujarat statistical review	Gujarat Stat. Rev.	Gujarat Stat Rev
Humboldt journal of social relations	Humboldt J. Soc. Relat.	Humboldt J Soc Relat
IFO-Studien	Ifo Stud.	IFO Stud
IIASA reports	Iiasa Rep.	IIASA Rep
IMF survey. International Monetary Fund	Imf Surv.	IMF Surv
Indian journal of industrial relations	Indian J. Ind. Relat.	Indian J Ind Relat
Insurance, mathematics & economics	Insur. Math. Econ.	Insur Math Econ
International economic insights	Int. Econ. Insights	Int Econ Insights
International journal of anthropology	Int. J. Anthropol.	Int J Anthropol
The Malawian geographer	Malawian Geogr.	Malawian Geogr
Marburger geographische Schriften	Marbg. Geogr. Schr.	Marbg Geogr Schr
The international spectator : a quarterly journal of the Istituto affari internazionali	Int. Spect. Rome.	Int Spect (Rome)
Journal of Arab affairs	J. Arab Aff.	J Arab Aff
A.I.D. evaluation news	Aid. Eval. News	AID Eval News
A.R.A.G. national newsletter	Arag. Natl. Newsl.	ARAG Natl Newsl
The ACES bulletin. Association for Comparative Economic Studies (U.S.)	Aces Bull.	ACES Bull
Mohlomi	Mohlomi	Mohlomi
Journal of architectural and planning research	J. Archit. Plann. Res.	J Archit Plann Res
Journal of Asian economics	J. Asian Econ.	J Asian Econ
The Journal of business and social studies	J. Bus. Soc. Stud.	J Bus Soc Stud
Journal of business research	J. Bus. Res.	J Bus Res
The Journal of economic education	J. Econ. Educ.	J Econ Educ
Journal of economic surveys	J. Econ. Surv.	J Econ Surv
Journal of European social policy	J. Eur. Soc. Policy	J Eur Soc Policy
Journal of institutional and theoretical economics : JITE = Zeitschrift fur die gesamte Staatswissenschaft	J. Inst. Theor. Econ.	J Inst Theor Econ
Japan and the world economy	Japan World Econ.	Japan World Econ
International studies quarterly : a publication of the International Studies Association	Int. Stud. Q.	Int Stud Q
The Jerusalem quarterly	Jerusalem Q.	Jerusalem Q
JICA newsletter	Jica Newsl.	JICA Newsl
Journal of advertising research	J. Advert. Res.	J Advert Res
Journal of African law	J. Afr. Law	J Afr Law
Iranian studies : bulletin of the Society for Iranian Cultural and Social Studies	Iran. Stud.	Iran Stud
IRCS medical science: Biomedical technology	Ircs Med. Sci. Biomed. Technol.	IRCS Med Sci Biomed Technol
The Irish banking review	Ir. Bank. Rev.	Ir Bank Rev
Isla (Mangilao, Guam)	Isla	Isla
Izvestiia Russkogo geograficheskogo obshchestva (1992)	Izv. Russ. Geogr. Obshchestva	Izv Russ Geogr Obshchestva
The Round table	Round Table	Round Table
Russian social science review : a journal of translations	Russ. Soc. Sci. Rev.	Russ Soc Sci Rev
National Institute economic review	Natl. Inst. Econ. Rev.	Natl Inst Econ Rev
Zi dong hua xue bao = Acta automatica Sinica	Zidonghua. Xuebao.	Zidonghua Xuebao
The Science reports of the Tohoku University. Seventh series: (Geography). Tohoku Daigaku	Sci. Rep. Tohoku Univ. Ser. 7.	Sci Rep Tohoku Univ Ser 7
The Scottish journal of sociology	Scott. J. Sociol.	Scott J Sociol
Scripta ethnologica (Centro Argentino de Etnologia Americana)	Scr. Ethnol.	Scr Ethnol
Servizio migranti	Serv. Migr.	Serv Migr
Sistemi urbani	Sist. Urbani	Sist Urbani
Social choice and welfare	Soc. Choice Welfare	Soc Choice Welfare
Social development issues	Soc. Dev. Issues	Soc Dev Issues
Social sciences	Soc. Sci.	Soc Sci
Socialisme	Socialisme	Socialisme
Sociologia del diritto	Sociol. Diritto	Sociol Diritto
Biblioteca 70 (Lisbon, Portugal). Sociologia	Sociologia	Sociologia
The South African geographical journal, being a record of the proceedings of the South African Geographical Society	S. Afr. Geogr. J.	S Afr Geogr J
Natural law forum	Nat. Law Forum	Nat Law Forum
Natural resources journal	Nat. Resour. J.	Nat Resour J
Di li xue bao	Acta. Geogr. Sin.	Acta Geogr Sin
Off our backs	Off Our Backs	Off Our Backs
South Asian review	South Asian Rev.	South Asian Rev
South European society & politics	South Eur. Soc. Polit.	South Eur Soc Polit
South Pacific bulletin	South Pac. Bull.	South Pac Bull
Soviet economy (Silver Spring, Md.)	Sov. Econ.	Sov Econ
Soviet education	Sov. Educ.	Sov Educ
Soviet studies in philosophy	Sov. Stud. Philos.	Sov Stud Philos
Spore (English edition)	Spore	Spore
Sri Lanka journal of social sciences	Sri Lanka J. Soc. Sci.	Sri Lanka J Soc Sci
Statistiska meddelanden. Serie Be	Statist. Medd. Ser. Be Befolk. Val.	Statist Medd Ser Be Befolk Val
Seagull theatre quarterly	Seagull Theatre Q.	Seagull Theatre Q
Studia historica Gandensia	Stud. Hist. Gandensia	Stud Hist Gandensia
Studies on Russian economic development	Stud. Russ. Econ. Dev.	Stud Russ Econ Dev
Svensk geografisk arsbok	Sven. Geogr. Arsb.	Sven Geogr Arsb
News of Norway	News Nor.	News Nor
Teaching notes on population	Teach. Notes Popul.	Teach Notes Popul
ThisWeek (Lagos, Nigeria)	Thisweek	ThisWeek
Nieuwe West-Indische gids	Nieuwe West Indische Gids	Nieuwe West Indische Gids
Acta geographica Croatica : glasilo Geografskog odjela PMF-a Sveucilista u Zagrebu	Acta Geogr. Croat.	Acta Geogr Croat
Tribune (International Women's Tribune Centre : English ed.)	Trib. Int. Womens. Trib. Cent.	Trib Int Womens Trib Cent
Nomadic peoples	Nomad. People.	Nomad People
Indo koten kenkyu = Acta Indologica	Indo Koten Kenkyu	Indo Koten Kenkyu
Panoscope	Panoscope	Panoscope
Vestnik - Leningradskogo Universiteta. Geologiia, geografiia. Leningradskii gosudarstvennyi universitet	Vestn. Leningr. Univ. Geol. Geogr.	Vestn Leningr Univ Geol Geogr
El Trimestre economico	Trimest. Econ.	Trimest Econ
U.S. long-term review	Us. Long Term Rev.	US Long Term Rev
Uddannelse (Copenhagen, Denmark)	Uddannelse	Uddannelse
Field staff reports	Field Staff Rep.	Field Staff Rep
UNDP news : networking publication of UNDP staff worldwide. United Nations Development Programme	Undp News	UNDP News
USAID developments	Usaid Dev.	USAID Dev
Utafiti	Utafiti	Utafiti
Veja	Veja	Veja
Vestnik Moskovskogo universiteta. Seriia V, Geografiia	Vestn. Mosk. Univ. Ser. V	Vestn Mosk Univ Ser V
Vikalpa	Vikalpa	Vikalpa
Village voice (Greenwich Village, New York, N.Y.)	Village Voice	Village Voice
La voix de la femme : magazine trimestriel d'information, d'education et de mobilisation de l'APDF	Voix Femme	Voix Femme
Wirtschaftswissenschaftliches Studium	Wirtschaftswissenschaftliches Stud.	Wirtschaftswissenschaftliches Stud
Women and environments	Women Environ.	Women Environ
The Women's watch	Womens. Watch	Womens Watch
Policy and politics	Policy Polit.	Policy Polit
Women envision	Women Envis.	Women Envis
World citizen news : newsletter of the World Government of World Citizens	World Citz. News	World Citz News
World Neighbors in action	World Neighb. Action	World Neighb Action
World policy journal	World Policy J.	World Policy J
World tobacco	World Tob.	World Tob
Yearbook (Conference of Latin Americanist Geographers)	Yearb. Conf. Lat. Am. Geogr.	Yearb Conf Lat Am Geogr
Zeitschrift fur die gesamte Staatswissenschaft = Journal of institutional and theoretical economics	Z. Gesamte Staatswiss.	Z Gesamte Staatswiss
Zpravy Geografickeho ustavu CSAV	Zpr. Geogr. Ust. Csav	Zpr Geogr Ust CSAV
Progress in planning	Prog. Plann.	Prog Plann
Public finance quarterly	Public Finan. Q.	Public Finan Q
Pula	Pula	Pula
Recherches geographiques a Strasbourg	Rech. Geogr. Strasbg.	Rech Geogr Strasbg
Revija za sociologiju	Rev. Sociol.	Rev Sociol
Recherches feministes	Rech. Fem.	Rech fem
Relaciones internacionales	Relac. Int.	Relac Int
Research in economic anthropology	Res. Econ. Anthropol.	Res Econ Anthropol
Review of historical demography	Rev. Hist. Demogr.	Rev Hist Demogr
Revista brasileira de geografia	Rev. Bras. Geogr.	Rev Bras Geogr
Revista CEPAE	Rev. Cepae	Rev CEPAE
Revista de informacao legislativa	Rev. Inf. Legis.	Rev Inf Legis
Revista economica	Rev. Econ.	Rev Econ
Revista de administracao municipal	Rev. Adm. Munic.	Rev Adm Munic
Revue de geographie de Lyon	Rev. Geogr. Lyon	Rev Geogr Lyon
La Revue de geographie de Montreal	Rev. Geogr. Montr.	Rev Geogr Montr
Revue francaise de science politique	Rev. Fr. Sci. Polit.	Rev Fr Sci Polit
Current affairs bulletin	Curr. Aff. Bull.	Curr Aff Bull
Anthropologie et societes	Anthropol. Soc.	Anthropol Soc
Bulletin - British Society for Middle Eastern Studies. British Society for Middle Eastern Studies	Bull. Br. Soc. Middle East. Stud.	Bull Br Soc Middle East Stud
British journal of educational technology : journal of the Council for Educational Technology	Br. J. Educ. Technol.	Br J Educ Technol
Delft progress report	Delft Prog. Rep.	Delft Prog Rep
Comparative urban research	Comp. Urban Res.	Comp Urban Res
Educational broadcasting international	Educ. Broadcast. Int.	Educ Broadcast Int
Historicka demografie	Hist. Demogr.	Hist Demogr
IASSIST quarterly	Iassist Q.	IASSIST Q
Journal of East and West studies	J. East West Stud.	J East West Stud
Israel social science research	Isr. Soc. Sci. Res.	Isr Soc Sci Res
South Asia bulletin	South Asia Bull.	South Asia Bull
Studi di sociologia	Studi Sociol.	Studi Sociol
Sudan notes and records	Sudan Notes Rec.	Sudan Notes Rec
Town and country planning : the quarterly review of the Town and Country Planning Association	Town Ctry. Plann.	Town Ctry Plann
Tsukuba Daigaku jinbun chirigaku kenkyu	Tsukuba Daigaku Jinbun Chirigaku Kenkyu	Tsukuba Daigaku Jinbun Chirigaku Kenkyu
WRI issues and ideas	Wri Issues Ideas	WRI Issues Ideas
Regional science perspectives	Reg. Sci. Perspect.	Reg Sci Perspect
Acta Universitatis Szegediensis de Attila Jozsef Nominatae. Acta juridica et politica	Acta Univ. Szeged. Attila Jozsef Nominatae	Acta Univ Szeged Attila Jozsef Nominatae
Acta Universitatis Upsaliensis. Studia sociologica Upsaliensia	Acta Univ. Ups.	Acta Univ Ups
Annales de droit	Annal. Droit	Annal Droit
Annals of arid zone	Ann. Arid Zone	Ann Arid Zone
Administration for development	Adm. Dev.	Adm Dev
Administrative change	Adm. Change	Adm Change
Advances in mass spectrometry	Adv. Mass Spectrom.	Adv Mass Spectrom
Annales de l'Universite d'Abidjan. Serie G: Geographie. Universite d'Abidjan	Ann. Univ. Abidjan. Ser. G	Ann Univ Abidjan Ser G
Annales de la Faculte des lettres et sciences humaines (Dakar, Senegal)	Ann. Fac. Lett. Sci. Hum.	Ann Fac Lett Sci Hum
Africa analysis	Afr. Anal.	Afr Anal
Africa quarterly	Afr. Q.	Afr Q
Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae. Sectio geographica. Eotvos Lorand Tudomanyegyetem	Ann. Univ. Sci. Budap. Rolando Eotvos Nom. Sect. Geogr.	Ann Univ Sci Budap Rolando Eotvos Nom Sect Geogr
al-Darah	Aldarah.	Aldarah
Annals of the Social Science Council of Nigeria	Ann. Soc. Sci. Counc. Niger.	Ann Soc Sci Counc Niger
Africa woman	Afr. Woman	Afr Woman
African concord	Afr. Concord	Afr Concord
African demography	Afr. Demogr.	Afr Demogr
African farmer : the key to Africa's future	Afr. Farmer	Afr Farmer
African journal for the psychological study of social issues : journal of the African Society for the Psychological Study of Social Issues	Afr. J. Psychol. Study Soc. Issues	Afr J Psychol Study Soc Issues
African journal of sociology	Afr. J. Sociol.	Afr J Sociol
African urban notes. Ser. B	Afr. Urban Notes B	Afr Urban Notes B
Africana Marburgensia	Afr. Marburgen.	Afr Marburgen
Africana research bulletin	Afr. Res. Bull.	Afr Res Bull
AfricAsia (Paris, France : 1984)	Africasia	Africasia
Africom	Africom	Africom
Afrique documents	Afr. Doc.	Afr Doc
Age (Melbourne, Vic.)	Age	Age
Agenda (Durban, South Africa)	Agenda	Agenda
ACE quarterly	Ace Q.	ACE Q
Annals of the National Association of Geographers, India	Ann. Natl. Assoc. Geogr.	Ann Natl Assoc Geogr
Almanac (National Academy of Television Arts and Sciences (U.S.). International Council)	Almanac	Almanac
Anthropology & education quarterly	Anthropol. Educ. Q.	Anthropol Educ Q
America latina	Am. Lat.	Am Lat
The American Asian review	Am. Asian Rev.	Am Asian Rev
Annali della Facolta di economia e commercio (Universita di Messina)	Ann. Fac. Econ. Commer.	Ann Fac Econ Commer
Special publication (American Philosophical Society)	Spec. Publ. Am. Philos. Soc.	Spec Publ Am Philos Soc
L'Annee sociale	Annee. Soc.	Annee Soc
Annuaire des pays de l'ocean indien	Annu. Pays Ocean. Indien	Annu Pays Ocean Indien
Anthropology of work review : AWR	Anthropol. Work Rev.	Anthropol Work Rev
Anthropotes	Anthropotes	Anthropotes
Applied economics discussion paper series	Appl. Econ. Discuss. Pap. Ser.	Appl Econ Discuss Pap Ser
The Appraisal journal	Appraisal J.	Appraisal J
Arab affairs (London, England)	Arab Aff.	Arab Aff
The American school board journal	Am. Sch. Board J.	Am Sch Board J
American Universities Field Staff reports: Asia	Am. Univ. Field Staff Rep. Asia	Am Univ Field Staff Rep Asia
American Universities Field Staff reports: South America	Am. Univ. Field Staff Rep. South Am.	Am Univ Field Staff Rep South Am
Analele stiintifice ale Universitatii ""Al. I. Cuza"" din Iasi. Sectiunea IIIc, Stiinte economice (1976)	An. Stiint. Univ. Ai. I Cuza Iasi Sect. Iii. C. Stiint. Econ.	An Stiint Univ AI I Cuza Iasi Sect III C Stiint Econ
Anales de la Sociedad de Geografia e Historia. Sociedad de Geografia e Historia de Guatemala	An. Soc. Geogr. Hist.	An Soc Geogr Hist
Analisis politico (Bogota, Colombia)	Anal. Polit.	Anal Polit
Applicable analysis	Appl. Anal.	Appl Anal
APDI newsletter. United Nations Asian and Pacific Development Institute	Apdi Newsl.	APDI Newsl
The Arab journal of the social sciences	Arab J. Soc. Sci.	Arab J Soc Sci
Arabia (London, England)	Arabia	Arabia
Arbeit und Soziales	Arb. Soz.	Arb Soz
Archive reporter. Data Archive on Adolescent Pregnancy and Pregnancy Prevention	Arch. Report.	Arch Report
The Arab economist	Arab Econ.	Arab Econ
AQ (Balmain, N.S.W.)	Aq	AQ
Actualidad juridica Aranzadi	Actual. Jurid. Aranzadi	Actual Jurid Aranzadi
Asia	Asia	Asia
